topico,POS,NEU,NEG,total_clausulas,pct_positivo,pct_neutro,pct_negativo,polaridad_neta,terminos,prioridad
3,105,134,671,910,11.5,14.7,73.7,-0.622,que no | pero | solo | veces | clase no | porque | clase | falta,670.7
1,4691,2017,158,6866,68.3,29.4,2.3,0.66,del tema | los temas | conocimiento | explicar | explica bien | ejemplos | buena | experiencia,157.9
0,10716,1116,114,11946,89.7,9.3,1.0,0.887,clase | clases | excelente | los temas | aprendizaje | mucho | las clases | siempre,119.5
11,12,164,61,237,5.1,69.2,25.7,-0.207,no tengo | no entiendo | tengo aspectos | mal humor | tengo aspecto | especial no | tengo observaciones | entiendo porque,60.9
6,191,145,14,350,54.6,41.4,4.0,0.506,puntualidad | los tiempos | puntual explica | los horarios | clase puntual | puntual puntual | siempre puntual | notas tiempo,14.0
5,220,111,12,343,64.1,32.4,3.5,0.606,dudas | las dudas | resolver dudas | siempre esta | dudas explica | resuelve dudas | dudas manera | dispuesto resolver,12.0
2,878,14,12,904,97.1,1.5,1.3,0.958,ella | una excelente | una buena | con ella | una con | ella una | clase una | enseña,11.8
8,153,43,11,207,73.9,20.8,5.3,0.686,actividades dinamicas | dinamico explica | dinamico dinamico | ambiente dinamico | dinamicas hace | dinamico divertido | forma dinamica | dinamica buena,11.0
4,305,51,8,364,83.8,14.0,2.2,0.816,buen espacio | los espacios | que espacio | espacio donde | espacio dinamico | del espacio | espacio espacio | aprendizaje espacio,8.0
15,62,30,6,98,63.3,30.6,6.1,0.571,retroalimentacion | retroalimentaciones | buena retroalimentacion | las retroalimentaciones | buenas retroalimentaciones | realiza retroalimentacion | retroalimentaciones que | retroalimentacion detallada,6.0
7,100,26,6,132,75.8,19.7,4.5,0.712,audiovisuales | aprender idioma | pronunciacion | expresion oral | bien idioma | idioma ingles | que idioma | idioma sea,5.9
10,90,33,5,128,70.3,25.8,3.9,0.664,los ejercicios | ejercicios que | ejercicios practicos | ejercicios practica | ejercicios clase | muchos ejercicios | ejercicios para | ejercicio practico,5.0
13,77,12,3,92,83.7,13.0,3.3,0.804,creatividad | creativa hora | actividades creativas | dinamico creativo | creatividad los | mucha creatividad | creatividad energia | creativas divertidas,3.0
12,69,17,2,88,78.4,19.3,2.3,0.761,lecturas | las lecturas | lectura | lecturas son | controles lectura | incentiva lectura | comprension lectora | lectura escritura,2.0
14,51,6,2,59,86.4,10.2,3.4,0.831,colombia | colombiana | historia colombia | colombiano | conflicto | realidad colombiana | colombia que | colombia no,2.0
9,73,5,0,78,93.6,6.4,0.0,0.936,doctor | doctora | derecho romano | que doctor | primer año | derecho penal | del doctor | romano que,0.0
