doc_id,clausula_id,clausula,sentimiento,confianza,tiene_negador,tiene_cuantificador_bajo,tiene_modal_atenuante,topico
4,0,Explica muy bien,POS,0.9363,False,False,False,1
5,0,Muy buen docente,POS,0.9422,False,False,False,0
6,0,"El docente tiene bastante conocimiento, y la materia se presta para aprovechar los conocimientos que tiene",POS,0.9286,False,False,False,0
15,0,Buena apropiación de la asignatura y correcta integración con los estudiantes,POS,0.8587,False,False,False,0
37,0,Es un espacio que enseña a mirar y entender el mundo desde otra perspectiva,POS,0.802,False,False,False,4
45,0,"He aprendido mucho del tema, es importante conocer todo esto para tener unas relaciones sanas y reconocer lo que pasa para pedir ayuda que muchas veces es difícil",POS,0.6343,False,False,False,-1
50,0,Paciencia y entusiasmo en la clase,POS,0.7378,False,False,False,0
51,0,Se preocupa genuinamente porque todos entendamos y participemos,POS,0.4923,False,False,False,1
58,0,Es un espacio muy tranquilo,POS,0.8973,False,False,False,4
59,0,Es muy humano y da muchas oportunidades,POS,0.9524,False,False,False,1
64,0,La profe es muy dinámica en clase,NEU,0.498,False,False,False,0
69,0,Está siempre muy pendiente de que entendamos y nos apropiemos de lo que enseña,POS,0.5117,False,False,False,-1
70,0,Myriam es una docente maravillosa,POS,0.9658,False,False,False,-1
70,1,"Se preocupa por sus estudiantes y su bienestar, es una docente muy íntegra e inteligente",POS,0.969,False,False,False,2
70,2,Es la mejor docente que he encontrado viendo mis electivas,POS,0.9421,False,False,False,0
72,0,"Explica de manera clara, da espacios buenos para hacer las actividades",POS,0.9175,False,False,False,4
73,0,Una muy buena clase que nos despeja un poco del estrés académico que pasamos en cada una de nuestras carreras,POS,0.9762,False,True,False,-1
73,1,El tener este espacio de dos horas es bastante relajante,POS,0.9664,False,False,False,4
74,0,"El espacio es muy tranquilo, me parece que la profe tiene una dinámica genial y lo único que recomendaría es más horarios para esta electiva, debido a que no hay muchas que velen por nuestra salud mental y es algo que me parece fundamental",POS,0.9495,True,False,False,-1
75,0,"Es una persona que le gusta escuchar a sus estudiantes y está abierta a apoyarlos en cualquier momento, propiciando un espacio cómodo y tranquilo",POS,0.9356,False,False,False,-1
76,0,Considero que la docente es muy buena en su labor,POS,0.9632,False,False,False,0
76,1,"Resaltó las actividades que propone en el aula de clase, estas actividades además de ser interesantes, dejan un aprendizaje significativo en todos los que tomamos las clase",POS,0.9181,False,False,False,0
77,0,Es una visión de la historia olvidada sistemáticamente,NEG,0.8099,False,False,False,-1
77,1,que es absolutamente necesaria para comprender nuestro devenir histórico,POS,0.8118,False,False,False,-1
78,0,"Me gusta mucho todo, es interactivo",POS,0.9707,False,False,False,1
78,1,"reflexivo a la vez, he estado implementando a mi vida algunos de los ejercicios en clase y la verdad me ha ayudado muchísimo, me gustó mucho esta electiva, ojalá volver a repetirla",POS,0.9731,False,False,True,10
84,0,Es una mujer muy empatica y siento que eso es importante para poder dictar una materia de estas,POS,0.9612,False,False,False,1
85,0,Todo perfecto,NEU,0.4643,False,False,False,1
86,0,"Muy buena percepción de todas las situaciones y gran entendimiento, muy buena inclusión con los estudiantes",POS,0.9702,False,False,False,-1
87,0,Tiene un dominio del tema y hace las actividades entretenidas,POS,0.9639,False,False,False,1
88,0,Excelente profe,POS,0.4789,False,False,False,0
90,0,"Profesor muy apasionado, interesante y poco común",NEG,0.87,False,True,False,0
90,1,Clases dinámicas,NEU,0.6001,False,False,False,0
93,0,Espacio bastante interesante,POS,0.9075,False,False,False,4
94,0,dominio del tema,NEU,0.6677,False,False,False,1
97,0,Manejo del tema y buena explicación de ellos,POS,0.8707,False,False,False,1
98,0,Muy buena metodología y comunicación,POS,0.971,False,False,False,1
104,0,"Me gusta la clase, no tengo quejas",POS,0.9236,True,False,False,0
107,0,Excelente manejo de la clase y los temas,POS,0.936,False,False,False,0
108,0,Explica de manera adecuada los temas incentivando a los estudiantes a tener más interés sobre los temas de su materia,POS,0.7799,False,False,False,0
111,0,Explicativo y dinámico,POS,0.5956,False,False,False,8
112,0,muy buena docente,POS,0.9438,False,False,False,0
116,0,"Me gustaría mucho tener otra electiva similar a esta, me he divertido mucho y ha sido de mucha ayuda",POS,0.9716,False,False,False,1
116,1,La profe siempre es muy amable y su sensibilidad siempre me motivan a ir a clase,POS,0.9665,False,False,False,0
116,2,Espero verla en otras electivas,NEU,0.7722,False,False,False,-1
117,0,Se evidencia su experiencia en el tema,NEU,0.7766,False,False,False,1
118,0,"Maneja los temas de historia increíble, se preocupa por sus alumnos y como son",POS,0.9281,False,False,False,-1
124,0,Es un espacio enriquecedor para la formación profesional al permitirnos encontrar herramientas de equilibrio entre lo académico y la salud mental,POS,0.9631,False,False,False,4
127,0,Me gusto mucho su electiva aprendí demasiado,POS,0.9708,False,False,False,-1
128,0,Gran conocimiento sobre los temas tratados,POS,0.8169,False,False,False,1
131,0,Las lecturas que envía son interesantes,POS,0.9476,False,False,False,12
136,0,Se nota que le gusta dar clase y sabe mucho del tema,POS,0.9261,False,False,False,0
138,0,Buen profesor,POS,0.4512,False,False,False,0
143,0,"Es una clase muy interesante, se aprende mucho y el profe es atento y paciente con el desarrollo de cada estudiante",POS,0.9797,False,False,False,0
144,0,"El docente logra hacer que los estudiantes conecten con la clase por medio de actividades, la clase es muy didáctica lo que tiene coherencia con vencer el miedo",POS,0.9307,False,False,False,0
145,0,Muy bueno,POS,0.4327,False,False,False,1
146,0,Las clases dinámicas,NEU,0.6779,False,False,False,0
148,0,"Hace divertida la clase, y ayuda a corregir los errores",POS,0.9469,False,False,False,-1
151,0,"Muy dinámico, sesiones donde hay que atreverse y vencer miedos",POS,0.9482,False,False,False,-1
152,0,"Excelente PEDAGOGÍA, puntualidad Siempre",POS,0.9433,False,False,False,6
153,0,Excelente pedagogía y dinámica de clase,POS,0.968,False,False,False,-1
154,0,Interesante y profundo,POS,0.6936,False,False,False,-1
155,0,Explica los temas con dominio y claridad,POS,0.6312,False,False,False,1
156,0,Hace actividades muy interesantes acorde a la clase,POS,0.9472,False,False,False,0
157,0,"se destaca por tener buen dominio y conocimiento acerca de lenguaje y la escritura, también propone espacios y actividades de reflexión, análisis y propone ejercicios de practica para fortalecer la correcta redacción",POS,0.804,False,False,False,-1
158,0,"Es una excelente profesora, nos hace conectar con el tema y a su vez son muy interesantes",POS,0.9765,False,False,False,2
161,0,Cumple con su horario,NEU,0.7176,False,False,False,6
162,0,Muy paciente y comprometido con el curso,POS,0.9273,False,False,False,-1
162,1,Es un curso muy interesante que ayuda a desarrollar varias habilidades prácticas para la vida y no solo la academia,POS,0.946,True,False,False,0
170,0,Es muy práctica la clase y muy enriquecedora,POS,0.9761,False,False,False,0
173,0,Sus clases son bastante dinámicas y interesantes,POS,0.9673,False,False,False,-1
