Topic,Count,Respuestas,Name,Terminos
0,11029,12289,0_clase_clases_excelente_los temas,clase | clases | excelente | los temas | aprendizaje | mucho | las clases | siempre
1,4589,5558,1_del tema_los temas_conocimiento_explicar,del tema | los temas | conocimiento | explicar | explica bien | ejemplos | buena | experiencia
2,1155,1222,2_ella_una excelente_una buena_con ella,ella | una excelente | una buena | con ella | una con | ella una | clase una | enseña
3,770,801,3_que no_pero_solo_veces,que no | pero | solo | veces | clase no | porque | clase | falta
4,377,419,4_buen espacio_los espacios_que espacio_espacio donde,buen espacio | los espacios | que espacio | espacio donde | espacio dinamico | del espacio | espacio espacio | aprendizaje espacio
5,474,532,5_dudas_las dudas_resolver dudas_siempre esta,dudas | las dudas | resolver dudas | siempre esta | dudas explica | resuelve dudas | dudas manera | dispuesto resolver
6,300,333,6_puntualidad_los tiempos_puntual explica_los horarios,puntualidad | los tiempos | puntual explica | los horarios | clase puntual | puntual puntual | siempre puntual | notas tiempo
7,189,191,7_audiovisuales_aprender idioma_pronunciacion_expresion oral,audiovisuales | aprender idioma | pronunciacion | expresion oral | bien idioma | idioma ingles | que idioma | idioma sea
8,195,217,8_actividades dinamicas_dinamico explica_dinamico dinamico_ambiente dinamico,actividades dinamicas | dinamico explica | dinamico dinamico | ambiente dinamico | dinamicas hace | dinamico divertido | forma dinamica | dinamica buena
9,166,174,9_doctor_doctora_derecho romano_que doctor,doctor | doctora | derecho romano | que doctor | primer año | derecho penal | del doctor | romano que
10,156,182,10_los ejercicios_ejercicios que_ejercicios practicos_ejercicios practica,los ejercicios | ejercicios que | ejercicios practicos | ejercicios practica | ejercicios clase | muchos ejercicios | ejercicios para | ejercicio practico
11,112,152,11_no tengo_no entiendo_tengo aspectos_mal humor,no tengo | no entiendo | tengo aspectos | mal humor | tengo aspecto | especial no | tengo observaciones | entiendo porque
12,121,121,12_lecturas_las lecturas_lectura_lecturas son,lecturas | las lecturas | lectura | lecturas son | controles lectura | incentiva lectura | comprension lectora | lectura escritura
13,136,143,13_creatividad_creativa hora_actividades creativas_dinamico creativo,creatividad | creativa hora | actividades creativas | dinamico creativo | creatividad los | mucha creatividad | creatividad energia | creativas divertidas
14,91,92,14_colombia_colombiana_historia colombia_colombiano,colombia | colombiana | historia colombia | colombiano | conflicto | realidad colombiana | colombia que | colombia no
15,128,143,15_retroalimentacion_retroalimentaciones_buena retroalimentacion_las retroalimentaciones,retroalimentacion | retroalimentaciones | buena retroalimentacion | las retroalimentaciones | buenas retroalimentaciones | realiza retroalimentacion | retroalimentaciones que | retroalimentacion detallada
