umap_n_neighbors,umap_n_components,min_topic_size,min_samples,epsilon,metodo,n_topicos,pct_outliers,tamano_mediano,tamano_min,tamano_max,pct_topicos_pequenos,cobertura_util,concentracion_mayor,silueta,score,cumple_criterios
30,5,50,5,0.2,eom,16,15.79,107.0,56,9898,0.0,84.21,49.52,0.0263,0.9235,False
30,5,75,5,0.2,eom,12,16.96,224.5,83,9898,0.0,83.04,49.52,0.0354,0.919,False
30,5,100,5,0.2,eom,9,18.24,245.0,105,9898,0.0,81.76,49.52,0.0804,0.9168,False
30,5,150,5,0.2,eom,7,19.31,659.0,222,9898,0.0,80.69,49.52,0.1218,0.8839,False
30,5,125,5,0.2,eom,7,19.31,659.0,222,9898,0.0,80.69,49.52,0.1218,0.8839,False
30,5,75,3,0.2,eom,11,16.1,220.0,84,14123,0.0,83.9,70.65,-0.2834,0.8776,False
30,5,50,3,0.2,eom,16,16.72,97.5,50,13714,0.0,83.28,68.61,-0.3366,0.875,False
30,5,50,7,0.2,eom,24,29.94,205.5,50,3729,0.0,70.06,18.66,0.2065,0.8748,False
30,5,100,3,0.2,eom,8,17.38,235.0,108,14123,0.0,82.62,70.65,-0.2473,0.8747,False
30,5,75,7,0.2,eom,18,30.81,249.0,83,3907,0.0,69.19,19.55,0.2548,0.8726,False
30,5,100,7,0.2,eom,15,32.08,270.0,104,3907,0.0,67.92,19.55,0.2507,0.8636,False
30,5,75,10,0.3,eom,8,9.47,193.0,83,15944,0.0,90.53,79.76,-0.2961,0.8633,False
30,5,50,10,0.3,eom,12,8.58,95.5,55,15944,0.0,91.42,79.76,-0.3099,0.8622,False
30,5,50,1,0.2,eom,13,6.84,88.0,56,16180,0.0,93.16,80.94,-0.2999,0.8606,False
30,5,75,1,0.2,eom,9,8.02,110.0,84,16180,0.0,91.98,80.94,-0.301,0.8605,False
30,5,150,7,0.2,eom,13,33.14,661.0,191,3907,0.0,66.86,19.55,0.2853,0.859,False
30,5,125,7,0.2,eom,13,33.14,661.0,191,3907,0.0,66.86,19.55,0.2853,0.859,False
30,5,50,7,0.3,eom,9,5.88,104.0,56,17300,0.0,94.12,86.55,-0.3298,0.8472,False
30,5,75,10,0.2,eom,25,36.1,235.0,76,3996,0.0,63.9,19.99,0.3155,0.841,False
30,5,100,10,0.2,eom,20,36.8,264.0,100,4083,0.0,63.2,20.43,0.2971,0.8348,False
30,5,125,10,0.2,eom,17,37.47,287.0,144,4083,0.0,62.53,20.43,0.3375,0.8333,False
30,5,150,10,0.2,eom,16,38.19,348.5,214,4083,0.0,61.81,20.43,0.3427,0.8288,False
30,5,150,10,0.0,eom,18,40.02,297.5,214,4083,0.0,59.98,20.43,0.37,0.8183,False
30,5,150,10,0.1,eom,18,40.02,297.5,214,4083,0.0,59.98,20.43,0.37,0.8183,False
30,5,150,3,0.0,eom,24,41.07,290.5,158,1316,0.0,58.93,6.58,0.4325,0.8158,False
30,5,150,3,0.1,eom,24,41.07,290.5,158,1316,0.0,58.93,6.58,0.4325,0.8158,False
